value	id	channel	patient_type	replicate	subject_group	patrep_id	cell_id	cluster
0.119174972	89	Ba	Control	1	Control	C01R01	C01R01_0089	1
0.131938725	90	Ba	Control	1	Control	C01R01	C01R01_0090	1
0.137046894	91	Ba	Control	1	Control	C01R01	C01R01_0091	1
0.154480807	92	Ba	Control	1	Control	C01R01	C01R01_0092	1
0.114447446	93	Ba	Control	1	Control	C01R01	C01R01_0093	1
0.114552628	94	Ba	Control	1	Control	C01R01	C01R01_0094	1
0.100742658	95	Ba	Control	1	Control	C01R01	C01R01_0095	1
0.144588008	96	Ba	Control	1	Control	C01R01	C01R01_0096	1
0.135151359	97	Ba	Control	1	Control	C01R01	C01R01_0097	1
0.113757147	98	Ba	Control	1	Control	C01R01	C01R01_0098	1
0.127882399	99	Ba	Control	1	Control	C01R01	C01R01_0099	1
0.133086869	100	Ba	Control	1	Control	C01R01	C01R01_0100	1
0.098335938	101	Ba	Control	1	Control	C01R01	C01R01_0101	1
0.125747066	102	Ba	Control	1	Control	C01R01	C01R01_0102	1
0.13098427	103	Ba	Control	1	Control	C01R01	C01R01_0103	1
0.103641597	104	Ba	Control	1	Control	C01R01	C01R01_0104	1
0.10081253	105	Ba	Control	1	Control	C01R01	C01R01_0105	1
0.121467192	106	Ba	Control	1	Control	C01R01	C01R01_0106	1
0.151070178	107	Ba	Control	1	Control	C01R01	C01R01_0107	1
0.098387267	108	Ba	Control	1	Control	C01R01	C01R01_0108	1
0.127144511	109	Ba	Control	1	Control	C01R01	C01R01_0109	1
0.121460129	110	Ba	Control	1	Control	C01R01	C01R01_0110	1
0.129606334	111	Ba	Control	1	Control	C01R01	C01R01_0111	1
0.111063496	112	Ba	Control	1	Control	C01R01	C01R01_0112	1
0.108099933	113	Ba	Control	1	Control	C01R01	C01R01_0113	1
0.119491952	114	Ba	Control	1	Control	C01R01	C01R01_0114	1
0.108598116	115	Ba	Control	1	Control	C01R01	C01R01_0115	1
0.105184134	116	Ba	Control	1	Control	C01R01	C01R01_0116	1
0.098034369	117	Ba	Control	1	Control	C01R01	C01R01_0117	1
0.121366221	118	Ba	Control	1	Control	C01R01	C01R01_0118	1
0.11154182	119	Ba	Control	1	Control	C01R01	C01R01_0119	1
0.112133257	120	Ba	Control	1	Control	C01R01	C01R01_0120	1
